"ID","Item","Company","Quantity","Currency","Conversion Rate","ID (Items)","Item Code (Items)","Qty (Items)","Rate (Items)","UOM (Items)"
"","","","","","","8gkpa264om","Mal",8.0,0.04,"Gram"
"","","","","","","8gkpudd50s","Thai Tea Powder (Triva)",70.0,2.0,"Gram"
"","","","","","","8gkpoaegsc","Black Tea Powder",100.0,1.8,"Gram"
"","","","","","","8gkplhrfa3","Vanilla Flavor",20.0,0.81,"Gram"
"","","","","","","8gkp7h2gv3","Thai Tea Flavor",30.0,1.6,"Gram"
"","","","","","","8gkpbnu10s","Sucralose",1.9,0.95,"Gram"
"","","","","","","8gkpg8q8g2","Almond Milk",1000.0,0.03,"Millilitre"
"","","","","","","8gkptsrtmr","Water",10.5,8.0,"Litre"
"BOM-CK_Latte-001","CK_Latte","PCS Healthy Creation",30.0,"THB",1.0,"3lrlv2vmdd","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","3lrlo4g08b","Glycine",800.0,0.08,"Gram"
"","","","","","","3lrlo8dul9","CMC",20.0,0.17,"Gram"
"","","","","","","3lrls5kdrv","Xanthan",20.0,0.14,"Gram"
"","","","","","","3lrl9544v7","Mal",8.0,0.04,"Gram"
"","","","","","","3lrlgllo47","Coffee Powder",130.0,0.68,"Gram"
"","","","","","","3lrltmar2n","Sucralose",1.3,0.95,"Gram"
"","","","","","","3lrlfd9va5","Almond Milk",1250.0,0.03,"Millilitre"
"","","","","","","3lrl2pikj1","Water",10.5,8.0,"Litre"
"BOM-CK_Matcha-001","CK_Matcha","PCS Healthy Creation",30.0,"THB",1.0,"5k5eifgc70","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","5k5etsn7vr","Glycine",800.0,0.08,"Gram"
"","","","","","","5k5evo9005","CMC",20.0,0.17,"Gram"
"","","","","","","5k5eddotl3","Xanthan",20.0,0.14,"Gram"
"","","","","","","5k5e3j8aam","Mal",8.0,0.04,"Gram"
"","","","","","","5k5edoc4qn","Matcha Powder",190.0,1.37,"Gram"
"","","","","","","5k5e7sg2e8","Sucralose",1.3,0.95,"Gram"
"","","","","","","5k5ejll20u","Almond Milk",1000.0,0.03,"Millilitre"
"","","","","","","5k5e1rddvu","Water",10.5,8.0,"Litre"
"BOM-CK_Cacao-001","CK_Cacao","PCS Healthy Creation",30.0,"THB",1.0,"1i8t89bre5","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","1i8tv57mth","Glycine",800.0,0.08,"Gram"
"","","","","","","1i8tpfs87e","CMC",20.0,0.17,"Gram"
"","","","","","","1i8tsrgjgm","Xanthan",20.0,0.14,"Gram"
"","","","","","","1i8t3m8b03","Cacao Powder",300.0,0.3,"Gram"
"","","","","","","1i8t97kcfg","Chocolate Flavor",30.0,1.02,"Gram"
"","","","","","","1i8tj0k97j","Vanilla Flavor",10.0,0.81,"Gram"
"","","","","","","1i8to2juev","Sucralose",1.2,0.95,"Gram"
"","","","","","","1i8t6hrhgp","Almond Milk",1000.0,0.03,"Millilitre"
"","","","","","","1i8tn72qev","Water",10.5,8.0,"Litre"
